cell_id,pop_2022_sum
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,2
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,16
39,32
40,21
41,4
42,2
43,0
44,0
45,0
46,10
47,36
48,53
49,54
50,52
51,50
52,48
53,41
54,21
55,16
56,2
57,0
58,1
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,2
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,4
77,9
78,9
79,5
80,1
81,16
82,30
83,31
84,32
85,32
86,32
87,31
88,31
89,31
90,17
91,2
92,0
93,1
94,3
95,2
96,3
97,16
98,15
99,8
100,3
101,0
102,0
103,0
104,1
105,4
106,1
107,0
108,0
109,1
110,2
111,0
112,1
113,10
114,16
115,27
116,24
117,11
118,21
119,28
120,25
121,23
122,26
123,21
124,15
125,18
126,12
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,1
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,1
196,2
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,1
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,1
224,0
225,1
226,5
227,25
228,34
229,23
230,3
231,2
232,0
233,0
234,1
235,18
236,49
237,53
238,56
239,56
240,55
241,51
242,50
243,45
244,36
245,5
246,0
247,2
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,2
266,10
267,15
268,13
269,6
270,16
271,30
272,32
273,32
274,32
275,31
276,30
277,30
278,30
279,20
280,4
281,2
282,1
283,1
284,2
285,2
286,5
287,5
288,2
289,0
290,0
291,0
292,0
293,1
294,4
295,3
296,3
297,4
298,6
299,9
300,8
301,12
302,23
303,29
304,31
305,27
306,17
307,27
308,30
309,30
310,27
311,23
312,21
313,12
314,13
315,10
316,1
317,0
318,0
319,0
320,0
321,3
322,4
323,2
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,1
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,1
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,1
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,1
404,1
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,1
413,1
414,4
415,11
416,30
417,34
418,19
419,0
420,0
421,0
422,0
423,2
424,34
425,51
426,53
427,56
428,58
429,56
430,54
431,52
432,50
433,25
434,2
435,0
436,1
437,0
438,0
439,0
440,0
441,0
442,1
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,2
456,10
457,21
458,22
459,14
460,23
461,33
462,32
463,31
464,30
465,29
466,28
467,20
468,14
469,5
470,6
471,4
472,3
473,3
474,2
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,3
483,13
484,14
485,18
486,20
487,21
488,27
489,30
490,30
491,30
492,31
493,31
494,28
495,27
496,30
497,31
498,32
499,30
500,23
501,17
502,6
503,11
504,13
505,1
506,0
507,0
508,0
509,0
510,6
511,9
512,4
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
